drinkID	drNazwa	drKat	drZrodlo	drKolor	drFoto	drProc	drSlodycz	drSzklo	drUlubiony	drNotatka	drUwagi	drWWW
alexander	Alexander	koktail	IBA Niezapomniane	Fioletowy		22	Słodki	koktailowy	0			
americano	Americano	koktail	IBA Niezapomniane	Czerwony		8	Nie Słodki	whiskey	0			
angelface	Angel Face	koktail	IBA Niezapomniane	Żółty		36	Lekko Słodki	koktailowy	0			
armageddon	Armageddon	koktail	Przepisy na proste drinki	Pomarańczowy		36	Lekko Słodki	collins	0			
aviation	Aviation	koktail	IBA Niezapomniane	Niebieski		28	Lekko Słodki	koktailowy	0			
b52	B-52	shot	Wikipedia	Różnokolorowy		26	Lekko Słodki	kieliszek	0			https://www.wikidata.org/wiki/Q594392
barracuda	Barracuda	koktail	IBA Nowa Era	Turkusowy		23	Słodki	collins	0			
beesknees	Bee's Knees	koktail	IBA Nowa Era	Żółty		26	Lekko Słodki	koktailowy	0			
bellini	Bellini	koktail	IBA Klasyki	Żółty		9	Lekko Słodki	szampan	0			
bemylover	Be My Lover	koktail	Przepisy na proste drinki	Zielony		25	Słodki	collins	0			
betweenthesheets	Between the Sheets	koktail	IBA Niezapomniane	Czerwony		24	Słodki	koktailowy	0			
billiejean	Billie Jean	shot	Przepisy na proste drinki	Zielony		23	Słodki	kieliszek	0			
blackrussian	Black Russian	koktail	IBA Klasyki	Czerwony		21	Nie Słodki	oldfashioned	0			
bloodymary	Bloody Mary	koktail	IBA Klasyki	Czerwony		13	Nie Słodki	collins	0			
bluepinacolada	Blue Pina Colada	koktail	Przepisy na proste drinki	Turkusowy		23	Słodki	collins	0			
boombastic	Boombastic	koktail	Przepisy na proste drinki	Czerwony		25	Lekko Słodki	collins	0			
bornintheusa	Born in the USA	koktail	Przepisy na proste drinki	Turkusowy		25	Lekko Słodki	koktailowy	0			
boulevardier	Boulevardier	koktail	IBA Niezapomniane	Czerwony		28	Nie Słodki	whiskey	0			
bramble	Bramble	koktail	IBA Nowa Era	Fioletowy		24	Słodki	whiskey	0			
brandycrusta	Brandy Crusta	koktail	IBA Niezapomniane	Czerwony		33	Lekko Słodki	koktailowy	0			
caipirinha	Caipirinha	koktail	IBA Klasyki	Zielony		28	Lekko Słodki	oldfashioned	0			
caipiroska	Caipiroska	koktail	IBA Klasyki	Zielony		28	Lekko Słodki	oldfashioned	1			
canchanchara	Canchanchara	koktail	IBA Nowa Era	Zielony		28	Słodki	oldfashioned	0			
captainjack	Captain Jack	koktail	Przepisy na proste drinki	Beżowy		25	Słodki	whiskey	0			
casino	Casino	koktail	IBA Niezapomniane	Zielony		23	Słodki	koktailowy	0			
casinoroyale	Casino Royale	koktail	Przepisy na proste drinki	Zielony		25	Lekko Słodki	koktailowy	0			
castaway	Cast Away	koktail	Przepisy na proste drinki	Turkusowy		18	Lekko Słodki	whiskey	0			
champagnecocktail	Champagne Cocktail	koktail	IBA Klasyki	Bezbarwny		11	Lekko Słodki	szampan	0			
cloverclub	Clover Club	koktail	IBA Niezapomniane	Żółty		28	Lekko Słodki	koktailowy	0			
cocoextasy	Coco Extasy	koktail	Przepisy na proste drinki	Zielony		23	Bardzo Słodki	collins	0			
coolnight	Cool Night	shot	Przepisy na proste drinki	Różowy		23	Lekko Słodki	kieliszek	0			
corpsereviver2	Corpse Reviver #2	koktail	IBA Klasyki	Zielony		28	Lekko Słodki	koktailowy	0			
cosmopolitan	Cosmopolitan	koktail	IBA Klasyki	Różowy		19	Słodki	koktailowy	0			
costamesa	Costa Mesa	koktail	Przepisy na proste drinki	Zielony		23	Lekko Słodki	collins	0			
cottoneyejoe	Cotton Eye Joe	koktail	Przepisy na proste drinki	Żółty		25	Słodki	collins	0			
cruelsummer	Cruel Summer	koktail	Przepisy na proste drinki	Pomarańczowy		25	Lekko Słodki	collins	0			
cubalibre	Cuba Libre	koktail	IBA Klasyki	Czerwony		13	Słodki	collins	0			
czasapokalipsy	Czas Apokalipsy	shot	Przepisy na proste drinki	Różowy		25	Słodki	kieliszek	0			
daiquiri	Daiquiri	koktail	IBA Niezapomniane	Żółty		23	Słodki	koktailowy	0			
darknstormy	Dark‘n stormy	koktail	IBA Nowa Era	Niebieski		17	Lekko Słodki	collins	0			
devilinside	Devil Inside	koktail	Przepisy na proste drinki	Czerwony		25	Słodki	collins	0			
dirtydancing	Dirty Dancing	koktail	Przepisy na proste drinki	Różowy		16	Lekko Słodki	whiskey	0			
drymartini	Dry Martini	koktail	IBA Niezapomniane	Bezbarwny		33	Nie Słodki	koktailowy	0			
dzidzi	Dżidżi	koktail	Przepisy na proste drinki	Czerwony		27	Słodki	koktailowy	0			
easylover	Easy Lover	shot	Przepisy na proste drinki	Pomarańczowy		25	Słodki	kieliszek	0			
espressomartini	Espresso Martini	koktail	IBA Nowa Era	Brązowy		23	Słodki	koktailowy	0			
eternalflame	Eternal Flame	koktail	Przepisy na proste drinki	Pomarańczowy		25	Słodki	collins	0			
eyeofthetiger	Eye of the Tiger	koktail	Przepisy na proste drinki	Pomarańczowy		23	Słodki	collins	0			
fernandito	Fernandito	koktail	IBA Nowa Era	Żółty		15	Lekko Słodki	collins	0			
firestarter	Firestarter	koktail	Przepisy na proste drinki	Czerwony		25	Słodki	collins	0			
footloose	Footloose	koktail	Przepisy na proste drinki	Żółty		23	Słodki	collins	0			
freestyler	Free Styler	koktail	Przepisy na proste drinki	Zielony		27	Lekko Słodki	koktailowy	0			
french75	French 75	koktail	IBA Klasyki	Bezbarwny		13	Lekko Słodki	szampan	0			
frenchconnection	French Connection	koktail	IBA Klasyki	Brązowy		27	Lekko Słodki	oldfashioned	0			
frenchmartini	French Martini	koktail	IBA Nowa Era	Fioletowy		27	Słodki	koktailowy	0			
gangstaparadise	Gangsta Paradise	koktail	Przepisy na proste drinki	Czerwony		25	Lekko Słodki	collins	0			
ginfizz	Gin Fizz	koktail	IBA Niezapomniane	Bezbarwny		13	Lekko Słodki	collins	0		Podawaj bez lodu.	
goldendream	Golden Dream	koktail	IBA Klasyki	Żółty		23	Słodki	koktailowy	0			
grasshopper	Grasshopper	koktail	IBA Klasyki	Zielony		23	Bardzo Słodki	koktailowy	0			
gromwraju	Grom w raju	koktail	Przepisy na proste drinki	Zielony		23	Słodki	collins	0			
groundzero	Ground Zero	koktail	Przepisy na proste drinki	Niebieski		23	Słodki	collins	0			
hankypanky	Hanky Panky	koktail	IBA Niezapomniane	Fioletowy		26	Lekko Słodki	koktailowy	0			
heartbreaker	Heart Breaker	koktail	Przepisy na proste drinki	Czerwony		25	Słodki	collins	0			
hemingwayspecial	Hemingway Special	koktail	IBA Klasyki	Czerwony		23	Lekko Słodki	collins	0			
horsesneck	Horse's Neck	koktail	IBA Klasyki	Bezbarwny		13	Lekko Słodki	collins	0			
illegal	Illegal	koktail	IBA Nowa Era	Fioletowy		26	Słodki	koktailowy	0			
invisibleman	Invisible Man	koktail	Przepisy na proste drinki	Beżowy		13	Słodki	koktailowy	0			
irishcoffee	Irish Coffee	koktail	IBA Klasyki	Brązowy		20	Słodki	collins	0			
jacuzi	Jacuzi	koktail	Własne	Pomarańczowy		0	Słodki	collins	1			
johncollins	John Collins	koktail	IBA Niezapomniane	Żółty		23	Lekko Słodki	collins	0		Do Tom Collins użyj ginu Old Tom.	
johnybravo	Johny Bravo	koktail	Przepisy na proste drinki	Czerwony		23	Słodki	whiskey	0			
joyride	Joy Ride	koktail	Przepisy na proste drinki	Pomarańczowy		25	Słodki	whiskey	0			
kamikaze	Kamikaze	shot	Internet	Niebieski		23	Słodki	kieliszek	0			https://krosno.com.pl/blog/wsciekly-pies-b52-oraz-kamikaze-przepisy.html
kir	KIR	koktail	IBA Klasyki	Czerwony		18	Słodki	wino	0			
kirroyal	KIR Royal	koktail	IBA Klasyki	Czerwony		18	Słodki	wino	0			
kiwidaiquiri	Kiwi Daiquiri	koktail	Przepisy na proste drinki	Zielony		23	Lekko Słodki	koktailowy	0			
labamba	La Bamba	koktail	Przepisy na proste drinki	Czerwony		23	Słodki	collins	0			
laislabonita	La Isla Bonita	koktail	Przepisy na proste drinki	Czerwony		23	Słodki	collins	0			
lastword	Last word	koktail	IBA Niezapomniane	Zielony		24	Lekko Słodki	koktailowy	0			
lemondropmartini	Lemon drop Martini	koktail	IBA Nowa Era	Żółty		23	Słodki	koktailowy	0			
letsdance	Let's Dance	koktail	Przepisy na proste drinki	Czerwony		27	Słodki	collins	0			
littlerock	Little Rock	koktail	Przepisy na proste drinki	Zielony		25	Słodki	whiskey	0			
longislandicetea	Long Island Ice Tea	koktail	IBA Klasyki	Bezbarwny		19	Bardzo Słodki	collins	0			
lowcaandroidow	Łowca Androidów	koktail	Przepisy na proste drinki	Fioletowy		23	Nie Słodki	collins	0			
maitai	Mai-Tai	koktail	IBA Klasyki	Turkusowy		25	Słodki	collins	0			
manhattan	Manhattan	koktail	IBA Niezapomniane	Czerwony		28	Nie Słodki	koktailowy	0			
maninthemirror	Man in the Mirror	koktail	Przepisy na proste drinki	Czerwony		25	Lekko Słodki	collins	0			
margarita	Margarita	koktail	IBA Klasyki	Zielony		28	Lekko Słodki	margarita	0			
margaritatruskawkowa	Margarita Truskawkowa	koktail	Przepisy na proste drinki	Czerwony		16	Słodki	margarita	0			
marktwaincoctail	Mark Twain Coctail	koktail	Własne	Czerwony		28	Słodki	koktailowy	1			
martinez	Martinez	koktail	IBA Niezapomniane	Fioletowy		27	Nie Słodki	koktailowy	0			
marypickford	Mary Pickford	koktail	IBA Niezapomniane	Żółty		23	Słodki	koktailowy	0			
miamivice	Miami Vice	koktail	Przepisy na proste drinki	Brązowy		23	Słodki	whiskey	0			
mimosa	Mimosa	koktail	IBA Klasyki	Żółty		10	Lekko Słodki	szampan	0		Znane również jako Buck's Fizz.	
mintjulep	Mint Julep	koktail	IBA Klasyki	Zielony		25	Lekko Słodki	whiskey	0			
mojito	Mojito	koktail	IBA Klasyki	Zielony		25	Słodki	collins	0			
mojitozogorkiemiimbirem	Mojito z ogórkiem i imbirem	koktail	Przepisy na proste drinki	Bezbarwny		25	Lekko Słodki	collins	0			
monkeygland	Monkey Gland	koktail	IBA Niezapomniane	Czerwony		21	Słodki	koktailowy	0			
moscowmule	Moscow Mule	koktail	IBA Klasyki	Turkusowy		23	Lekko Słodki	collins	0			
mrocznyrycerz	Mroczny Rycerz	koktail	Przepisy na proste drinki	Brązowy		25	Nie Słodki	collins	0			
mudslide	Mudslide	koktail	Internet	Beżowy		20	Słodki	whiskey	1			
nakedandfamous	Naked and Famous	koktail	IBA Nowa Era	Zielony		24	Lekko Słodki	koktailowy	0			
negroni	Negroni	koktail	IBA Niezapomniane	Czerwony		25	Nie Słodki	whiskey	0			
newyorksour	New York Sour	koktail	IBA Nowa Era	Czerwony		25	Słodki	whiskey	1			
nosferatu	Nosferatu	koktail	Przepisy na proste drinki	Czerwony		25	Nie Słodki	collins	0			
novemberrain	November Rain	koktail	Przepisy na proste drinki	Brązowy		23	Lekko Słodki	whiskey	0			
oceanside	Oceanside	koktail	Przepisy na proste drinki	Czerwony		23	Lekko Słodki	collins	0			
oldcuban	Old Cuban	koktail	IBA Nowa Era	Czerwony		25	Lekko Słodki	szampan	0			
oldfashioned	Old Fashioned	koktail	IBA Niezapomniane	Brązowy		25	Nie Słodki	whiskey	0			
oldfield	Oldfield	koktail	Przepisy na proste drinki	Zielony		25	Słodki	whiskey	0			
oneofus	One of Us	koktail	Przepisy na proste drinki	Pomarańczowy		27	Słodki	collins	0			
oneonone	One on One	shot	Przepisy na proste drinki	Żółty		25	Słodki	kieliszek	0			
palmbay	Palm Bay	koktail	Przepisy na proste drinki	Pomarańczowy		23	Słodki	collins	0			
paloma	Paloma	koktail	IBA Nowa Era	Turkusowy		23	Lekko Słodki	collins	0			
paperplane	Paper Plane	koktail	IBA Nowa Era	Fioletowy		24	Lekko Słodki	koktailowy	0			
paradise	Paradise	koktail	IBA Niezapomniane	Zielony		23	Słodki	koktailowy	0			
paradisecity	Paradise City	koktail	Przepisy na proste drinki	Zielony		23	Słodki	collins	0			
parttimelover	Part Time Lover	koktail	Przepisy na proste drinki	Różowy		16	Lekko Słodki	collins	0			
penicillin	Penicillin	koktail	IBA Nowa Era	Żółty		22	Słodki	whiskey	0			
pigwowekamikaze	Pigwowe Kamikaze	shot	Przepisy na proste drinki	Turkusowy		23	Lekko Słodki	kieliszek	0			
pinacolada	Pina Colada	koktail	IBA Klasyki	Turkusowy		23	Bardzo Słodki	collins	0		Dawniej do smaku dodawano kilka kropli świeżego soku z limonki. Zamiast soku można użyć 4 plasterków świeżego ananasa.	
piscosour	Pisco Sour	koktail	IBA Klasyki	Zielony		23	Lekko Słodki	oldfashioned	0			
planterspunch	Planter's Punch	koktail	IBA Niezapomniane	Czerwony		25	Słodki	collins	0		Dodaj wodę, lód lub świeży sok do rozcieńczenia smaku.	
portoflip	Porto Flip	koktail	IBA Niezapomniane	Brązowy		25	Słodki	koktailowy	0			
privatedancer	Private Dancer	koktail	Przepisy na proste drinki	Turkusowy		16	Słodki	collins	0			
puccini	Puccini	koktail	IBA Klasyki	Fioletowy		27	Słodki	szampan	0			
ramosfizz	Ramos Fizz	koktail	IBA Niezapomniane	Bezbarwny		13	Słodki	collins	0			
readyornot	Ready or Not	shot	Przepisy na proste drinki	Niebieski		27	Lekko Słodki	kieliszek	0			
redfruitmojito	Red Fruit Mojito	koktail	Przepisy na proste drinki	Czerwony		25	Słodki	collins	0			
renegat	Renegat	koktail	Przepisy na proste drinki	Czerwony		27	Słodki	collins	0			
riverside	Riverside	koktail	Przepisy na proste drinki	Czerwony		23	Lekko Słodki	whiskey	0			
rossini	Rossini	koktail	IBA Klasyki	Czerwony		25	Lekko Słodki	szampan	0			
runawaytrain	Runaway Train	koktail	Przepisy na proste drinki	Turkusowy		25	Słodki	whiskey	0			
russianspringpunch	Russian Spring Punch	koktail	IBA Nowa Era	Fioletowy		27	Słodki	collins	0			
rustynail	Rusty Nail	koktail	IBA Niezapomniane	Brązowy		25	Lekko Słodki	whiskey	0			
sambadejaneiro	Samba De Janeiro	koktail	Przepisy na proste drinki	Pomarańczowy		18	Słodki	collins	0			
satisfaction	Satisfaction	koktail	Przepisy na proste drinki	Czerwony		25	Słodki	whiskey	0			
sazerac	Sazerac	koktail	IBA Niezapomniane	Brązowy		25	Nie Słodki	oldfashioned	0			
seabreeze	Sea Breeze	koktail	IBA Klasyki	Turkusowy		23	Lekko Słodki	collins	0			
sexonthebeach	Sex on the Beach	koktail	IBA Klasyki	Różowy		16	Bardzo Słodki	collins	0			
sidecar	Sidecar	koktail	IBA Niezapomniane	Bezbarwny		13	Nie Słodki	koktailowy	0			
sincity	Sin City	koktail	Przepisy na proste drinki	Turkusowy		25	Słodki	koktailowy	0			
singaporesling	Singapore Sling	koktail	IBA Klasyki	Różowy		16	Słodki	collins	0			
slonecznypatrol	Słoneczny Patrol	koktail	Przepisy na proste drinki	Pomarańczowy		23	Lekko Słodki	collins	0			
smellsliketeenspirit	Smells Like Teen Spirit	koktail	Przepisy na proste drinki	Zielony		23	Lekko Słodki	whiskey	0			
smoothcriminal	Smooth Criminal	koktail	Przepisy na proste drinki	Bezbarwny		25	Słodki	collins	0			
southpark	South Park	koktail	Przepisy na proste drinki	Czerwony		25	Słodki	collins	0			
southside	Southside	koktail	IBA Nowa Era	Zielony		23	Lekko Słodki	koktailowy	0		Jeśli używasz białka jajka, wstrząśnij energicznie.	
spicyfifty	Spicy Fifty	koktail	IBA Nowa Era	Czerwony		25	Słodki	koktailowy	0			
spritz	Spritz	koktail	IBA Nowa Era	Pomarańczowy		18	Lekko Słodki	wino	0		Istnieją inne wersje Spritza, które używają Campari, Cynaru lub Select zamiast Aperolu.	
standbyme	Stand By Me	koktail	Przepisy na proste drinki	Różowy		25	Lekko Słodki	collins	0			
stepbystep	Step by Step	koktail	Przepisy na proste drinki	Zielony		23	Słodki	koktailowy	0			
stinger	Stinger	koktail	IBA Niezapomniane	Zielony		23	Nie Słodki	koktailowy	0			
streetsofphiladelphia	Streets of Philadelphia	koktail	Przepisy na proste drinki	Zielony		25	Lekko Słodki	collins	0			
sufferingbastard	Suffering Bastard	koktail	IBA Nowa Era	Czerwony		25	Słodki	collins	0			
summerjam	Summer Jam	koktail	Przepisy na proste drinki	Pomarańczowy		25	Słodki	collins	0			
tearsinheaven	Tears in Heaven	koktail	Przepisy na proste drinki	Turkusowy		25	Lekko Słodki	collins	0			
tequilasunrise	Tequila Sunrise	koktail	IBA Klasyki	Pomarańczowy		18	Słodki	collins	0			
terazpolska	Teraz Polska	shot	Wikipedia	Różnokolorowy		23	Słodki	kieliszek	0			https://pl.wikipedia.org/wiki/W%C5%9Bciek%C5%82y_pies
thetimeofmylife	The Time of My Life	koktail	Przepisy na proste drinki	Zielony		23	Słodki	collins	0			
tintoretto	Tintoretto	koktail	IBA Klasyki	Czerwony		25	Słodki	szampan	0			
tipperary	Tipperary	koktail	IBA Nowa Era	Zielony		23	Nie Słodki	koktailowy	0			
tommysmargarita	Tommy's Margarita	koktail	IBA Nowa Era	Zielony		23	Lekko Słodki	margarita	0			
touchme	Touch Me	koktail	Przepisy na proste drinki	Turkusowy		25	Słodki	collins	0			
toysoldier	Toy Soldier	koktail	Przepisy na proste drinki	Czerwony		23	Lekko Słodki	collins	0			
trinidadsour	Trinidad Sour	koktail	IBA Nowa Era	Czerwony		25	Słodki	koktailowy	0			
tuxedo	Tuxedo	koktail	IBA Niezapomniane	Fioletowy		27	Lekko Słodki	koktailowy	0			
twinpeaks	Twin Peaks	shot	Przepisy na proste drinki	Niebieski		23	Słodki	kieliszek	0			
twoprincess	Two Princess	koktail	Przepisy na proste drinki	Różowy		16	Słodki	whiskey	0			
underthebridge	Under the Bridge	koktail	Przepisy na proste drinki	Czerwony		23	Słodki	whiskey	0			
upiorwoperze	Upiór w Operze	koktail	Przepisy na proste drinki	Turkusowy		25	Lekko Słodki	collins	0			
vento	VE.N.TO	koktail	IBA Nowa Era	Zielony		23	Słodki	wino	0		Jeśli chcesz, wodę można zastąpić naparem rumianku w mieszance z miodem.	
vesper	Vesper	koktail	IBA Klasyki	Bezbarwny		13	Lekko Słodki	koktailowy	0			
vieuxcarre	Vieux Carrè	koktail	IBA Niezapomniane	Brązowy		25	Słodki	oldfashioned	0			
viper	Viper	koktail	Przepisy na proste drinki	Zielony		23	Słodki	collins	0			
wakabayashi	Wakabayashi	koktail	Przepisy na proste drinki	Brązowy		23	Słodki	koktailowy	0			
walkoflife	Walk of Life	koktail	Przepisy na proste drinki	Czerwony		23	Lekko Słodki	whiskey	0			
whiskeysour	Whiskey Sour	koktail	IBA Niezapomniane	Żółty		23	Lekko Słodki	whiskey	0		Jeśli używasz białka jajka, wstrząśnij mocniej, aby uwolnić i połączyć pianę z białka.	
whitelady	White Lady	koktail	IBA Niezapomniane	Bezbarwny		13	Słodki	koktailowy	0			
whiterussian	White Russian	koktail	IBA Klasyki	Bezbarwny		13	Słodki	oldfashioned	0			
windofchange	Wind of Change	koktail	Przepisy na proste drinki	Czerwony		23	Lekko Słodki	collins	0			
wscieklypies	Wściekły Pies	shot	Wikipedia	Czerwony		25	Nie Słodki	kieliszek	0			https://pl.wikipedia.org/wiki/W%C5%9Bciek%C5%82y_pies
yattaman	Yattaman	koktail	Przepisy na proste drinki	Czerwony		23	Lekko Słodki	collins	0			
yellowbird	Yellow Bird	koktail	IBA Nowa Era	Żółty		23	Słodki	koktailowy	0			
zabojczabron	Zabójcza Broń	koktail	Przepisy na proste drinki	Pomarańczowy		25	Słodki	collins	0			
zabojczynumer	Zabójczy Numer	koktail	Przepisy na proste drinki	Zielony		25	Lekko Słodki	koktailowy	0			
zartropikow	Żar Tropików	koktail	Przepisy na proste drinki	Zielony		18	Bardzo Słodki	collins	0			
zombie	Zombie	koktail	IBA Klasyki	Zielony		23	Bardzo Słodki	collins	0		Donn's Mix: 2 części świeżego żółtego grejpfruta i 1 część syropu cynamonowego.	